# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:Z
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000  8.2022071764350208E-001
  0.9999999999999998E-001  0.9999999999999998E-001      10  20010   2.0000000000000000E+000 0.0000000000000000E+000  7.8136438165574348E-001
  0.9999999999999998E-001  0.9999999999999998E-001      10  20010   2.0000000000000000E+000 0.0000000000000000E+000  7.8136438165574348E-001
  2.0000000000000004E-001  2.0000000000000004E-001      20  20020   2.0000000000000000E+000 0.0000000000000000E+000  7.4072142154740632E-001
  2.0000000000000004E-001  2.0000000000000004E-001      20  20020   2.0000000000000000E+000 0.0000000000000000E+000  7.4072142154740632E-001
  3.0000000000000008E-001  3.0000000000000008E-001      30  20030   2.0000000000000000E+000 0.0000000000000000E+000  7.0153436447031838E-001
  3.0000000000000008E-001  3.0000000000000008E-001      30  20030   2.0000000000000000E+000 0.0000000000000000E+000  7.0153436447031838E-001
  4.0000000000000017E-001  4.0000000000000017E-001      40  20040   2.0000000000000000E+000 0.0000000000000000E+000  6.6733141748256148E-001
  4.0000000000000017E-001  4.0000000000000017E-001      40  20040   2.0000000000000000E+000 0.0000000000000000E+000  6.6733141748256148E-001
  5.0000000000000017E-001  5.0000000000000017E-001      50  20050   2.0000000000000000E+000 0.0000000000000000E+000  6.4108598080510281E-001
  5.0000000000000017E-001  5.0000000000000017E-001      50  20050   2.0000000000000000E+000 0.0000000000000000E+000  6.4108598080510281E-001
  6.0000000000000035E-001  6.0000000000000035E-001      60  20060   2.0000000000000000E+000 0.0000000000000000E+000  6.2449940020466332E-001
  6.0000000000000035E-001  6.0000000000000035E-001      60  20060   2.0000000000000000E+000 0.0000000000000000E+000  6.2449940020466332E-001
  7.0000000000000035E-001  7.0000000000000035E-001      70  20070   2.0000000000000000E+000 0.0000000000000000E+000  6.1782151676803120E-001
  7.0000000000000035E-001  7.0000000000000035E-001      70  20070   2.0000000000000000E+000 0.0000000000000000E+000  6.1782151676803120E-001
  8.0000000000000053E-001  8.0000000000000053E-001      80  20080   2.0000000000000000E+000 0.0000000000000000E+000  6.2036358318977384E-001
  8.0000000000000053E-001  8.0000000000000053E-001      80  20080   2.0000000000000000E+000 0.0000000000000000E+000  6.2036358318977384E-001
  9.0000000000000053E-001  9.0000000000000053E-001      90  20090   2.0000000000000000E+000 0.0000000000000000E+000  6.3141476865711450E-001
  9.0000000000000053E-001  9.0000000000000053E-001      90  20090   2.0000000000000000E+000 0.0000000000000000E+000  6.3141476865711450E-001
  1.0000000000000006E+000  1.0000000000000006E+000     100  20100   2.0000000000000000E+000 0.0000000000000000E+000  6.5093309517604103E-001
  1.0000000000000006E+000  1.0000000000000006E+000     100  20100   2.0000000000000000E+000 0.0000000000000000E+000  6.5093309517604103E-001
  1.1000000000000007E+000  1.1000000000000007E+000     110  20110   2.0000000000000000E+000 0.0000000000000000E+000  6.7933422612064111E-001
  1.1000000000000007E+000  1.1000000000000007E+000     110  20110   2.0000000000000000E+000 0.0000000000000000E+000  6.7933422612064111E-001
  1.2000000000000008E+000  1.2000000000000008E+000     120  20120   2.0000000000000000E+000 0.0000000000000000E+000  7.1606511077507484E-001
  1.2000000000000008E+000  1.2000000000000008E+000     120  20120   2.0000000000000000E+000 0.0000000000000000E+000  7.1606511077507484E-001
  1.3000000000000009E+000  1.3000000000000009E+000     130  20130   2.0000000000000000E+000 0.0000000000000000E+000  7.5761908959687946E-001
  1.3000000000000009E+000  1.3000000000000009E+000     130  20130   2.0000000000000000E+000 0.0000000000000000E+000  7.5761908959687946E-001
  1.4000000000000010E+000  1.4000000000000010E+000     140  20140   2.0000000000000000E+000 0.0000000000000000E+000  7.9713905851092743E-001
  1.4000000000000010E+000  1.4000000000000010E+000     140  20140   2.0000000000000000E+000 0.0000000000000000E+000  7.9713905851092743E-001
