# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:U(1) 008:U(2) 009:U(mag)
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000   4.1695313587142992E-001  6.7012763296389739E-001  7.8925342062915069E-001
  0.9999999999999998E-001  0.9999999999999998E-001      10  20010   2.0000000000000000E+000 0.0000000000000000E+000   4.1997540890039859E-001  6.1915526451400761E-001  7.4815278229547992E-001
  0.9999999999999998E-001  0.9999999999999998E-001      10  20010   2.0000000000000000E+000 0.0000000000000000E+000   4.1997540890039859E-001  6.1915526451400761E-001  7.4815278229547992E-001
  2.0000000000000004E-001  2.0000000000000004E-001      20  20020   2.0000000000000000E+000 0.0000000000000000E+000   4.1941399073002276E-001  5.5534548593206087E-001  6.9592866327318381E-001
  2.0000000000000004E-001  2.0000000000000004E-001      20  20020   2.0000000000000000E+000 0.0000000000000000E+000   4.1941399073002276E-001  5.5534548593206087E-001  6.9592866327318381E-001
  3.0000000000000008E-001  3.0000000000000008E-001      30  20030   2.0000000000000000E+000 0.0000000000000000E+000   4.1529910304498223E-001  4.8030363059674563E-001  6.3495269316255509E-001
  3.0000000000000008E-001  3.0000000000000008E-001      30  20030   2.0000000000000000E+000 0.0000000000000000E+000   4.1529910304498223E-001  4.8030363059674563E-001  6.3495269316255509E-001
  4.0000000000000017E-001  4.0000000000000017E-001      40  20040   2.0000000000000000E+000 0.0000000000000000E+000   4.0754346479933838E-001  3.9647074858065419E-001  5.6857781365504749E-001
  4.0000000000000017E-001  4.0000000000000017E-001      40  20040   2.0000000000000000E+000 0.0000000000000000E+000   4.0754346479933838E-001  3.9647074858065419E-001  5.6857781365504749E-001
  5.0000000000000017E-001  5.0000000000000017E-001      50  20050   2.0000000000000000E+000 0.0000000000000000E+000   3.9582795148228742E-001  3.0649649736017039E-001  5.0061948630543442E-001
  5.0000000000000017E-001  5.0000000000000017E-001      50  20050   2.0000000000000000E+000 0.0000000000000000E+000   3.9582795148228742E-001  3.0649649736017039E-001  5.0061948630543442E-001
  6.0000000000000035E-001  6.0000000000000035E-001      60  20060   2.0000000000000000E+000 0.0000000000000000E+000   3.7956762844929761E-001  2.1252521876425807E-001  4.3501557808591151E-001
  6.0000000000000035E-001  6.0000000000000035E-001      60  20060   2.0000000000000000E+000 0.0000000000000000E+000   3.7956762844929761E-001  2.1252521876425807E-001  4.3501557808591151E-001
  7.0000000000000035E-001  7.0000000000000035E-001      70  20070   2.0000000000000000E+000 0.0000000000000000E+000   3.5799407441477271E-001  1.1569630326609710E-001  3.7622518776064231E-001
  7.0000000000000035E-001  7.0000000000000035E-001      70  20070   2.0000000000000000E+000 0.0000000000000000E+000   3.5799407441477271E-001  1.1569630326609710E-001  3.7622518776064231E-001
  8.0000000000000053E-001  8.0000000000000053E-001      80  20080   2.0000000000000000E+000 0.0000000000000000E+000   3.3036546246206608E-001  1.6101162385808964E-002  3.3075759434659852E-001
  8.0000000000000053E-001  8.0000000000000053E-001      80  20080   2.0000000000000000E+000 0.0000000000000000E+000   3.3036546246206608E-001  1.6101162385808964E-002  3.3075759434659852E-001
  9.0000000000000053E-001  9.0000000000000053E-001      90  20090   2.0000000000000000E+000 0.0000000000000000E+000   2.9626911502357868E-001 -8.6776607642384657E-002  3.0871599918173151E-001
  9.0000000000000053E-001  9.0000000000000053E-001      90  20090   2.0000000000000000E+000 0.0000000000000000E+000   2.9626911502357868E-001 -8.6776607642384657E-002  3.0871599918173151E-001
  1.0000000000000006E+000  1.0000000000000006E+000     100  20100   2.0000000000000000E+000 0.0000000000000000E+000   2.5596974427051879E-001 -1.9332825395310761E-001  3.2077456844094114E-001
  1.0000000000000006E+000  1.0000000000000006E+000     100  20100   2.0000000000000000E+000 0.0000000000000000E+000   2.5596974427051879E-001 -1.9332825395310761E-001  3.2077456844094114E-001
  1.1000000000000007E+000  1.1000000000000007E+000     110  20110   2.0000000000000000E+000 0.0000000000000000E+000   2.1078349853375408E-001 -3.0302807767359860E-001  3.6912829627744017E-001
  1.1000000000000007E+000  1.1000000000000007E+000     110  20110   2.0000000000000000E+000 0.0000000000000000E+000   2.1078349853375408E-001 -3.0302807767359860E-001  3.6912829627744017E-001
  1.2000000000000008E+000  1.2000000000000008E+000     120  20120   2.0000000000000000E+000 0.0000000000000000E+000   1.6349567291456219E-001 -4.1369788487376037E-001  4.4483342389124560E-001
  1.2000000000000008E+000  1.2000000000000008E+000     120  20120   2.0000000000000000E+000 0.0000000000000000E+000   1.6349567291456219E-001 -4.1369788487376037E-001  4.4483342389124560E-001
  1.3000000000000009E+000  1.3000000000000009E+000     130  20130   2.0000000000000000E+000 0.0000000000000000E+000   1.1883952652882205E-001 -5.2082548526018710E-001  5.3421158651053612E-001
  1.3000000000000009E+000  1.3000000000000009E+000     130  20130   2.0000000000000000E+000 0.0000000000000000E+000   1.1883952652882205E-001 -5.2082548526018710E-001  5.3421158651053612E-001
  1.4000000000000010E+000  1.4000000000000010E+000     140  20140   2.0000000000000000E+000 0.0000000000000000E+000   8.3838256093602119E-002 -6.1713268408357260E-001  6.2280141533960167E-001
  1.4000000000000010E+000  1.4000000000000010E+000     140  20140   2.0000000000000000E+000 0.0000000000000000E+000   8.3838256093602119E-002 -6.1713268408357260E-001  6.2280141533960167E-001
  1.5000000000000010E+000  1.5000000000000010E+000     150  20150   2.0000000000000000E+000 0.0000000000000000E+000   6.7180686259119761E-002 -6.9332839270161574E-001  6.9657555565240167E-001
  1.5000000000000010E+000  1.5000000000000010E+000     150  20150   2.0000000000000000E+000 0.0000000000000000E+000   6.7180686259119761E-002 -6.9332839270161574E-001  6.9657555565240167E-001
  1.6000000000000012E+000  1.6000000000000012E+000     160  20160   2.0000000000000000E+000 0.0000000000000000E+000   7.6266410997626712E-002 -7.4149695409351634E-001  7.4540881291840204E-001
  1.6000000000000012E+000  1.6000000000000012E+000     160  20160   2.0000000000000000E+000 0.0000000000000000E+000   7.6266410997626712E-002 -7.4149695409351634E-001  7.4540881291840204E-001
  1.7000000000000012E+000  1.7000000000000012E+000     170  20170   2.0000000000000000E+000 0.0000000000000000E+000   1.1197466315546875E-001 -7.6070897782757391E-001  7.6890602425540475E-001
  1.7000000000000012E+000  1.7000000000000012E+000     170  20170   2.0000000000000000E+000 0.0000000000000000E+000   1.1197466315546875E-001 -7.6070897782757391E-001  7.6890602425540475E-001
  1.8000000000000014E+000  1.8000000000000014E+000     180  20180   2.0000000000000000E+000 0.0000000000000000E+000   1.6523589467061188E-001 -7.6004486426325552E-001  7.7779887926156598E-001
  1.9000000000000014E+000  1.9000000000000014E+000     190  20190   2.0000000000000000E+000 0.0000000000000000E+000   2.2093203690458156E-001 -7.5363621290687410E-001  7.8535247267416341E-001
  1.8000000000000014E+000  1.8000000000000014E+000     180  20180   2.0000000000000000E+000 0.0000000000000000E+000   1.6523589467061188E-001 -7.6004486426325552E-001  7.7779887926156598E-001
  2.0000000000000013E+000  2.0000000000000013E+000     200  20200   2.0000000000000000E+000 0.0000000000000000E+000   2.6758955589789792E-001 -7.5082620866045735E-001  7.9708479225053014E-001
