# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:P_OVER_RHO
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
 0.0000000000000000E+000 0.0000000000000000E+000       0  20000   2.0000000000000000E+000 0.0000000000000000E+000 -3.6661468007412540E-001
  0.9999999999999998E-001  0.9999999999999998E-001      10  20010   2.0000000000000000E+000 0.0000000000000000E+000 -3.8800461576683362E-001
  0.9999999999999998E-001  0.9999999999999998E-001      10  20010   2.0000000000000000E+000 0.0000000000000000E+000 -3.8800461576683362E-001
  2.0000000000000004E-001  2.0000000000000004E-001      20  20020   2.0000000000000000E+000 0.0000000000000000E+000 -4.0749588716038322E-001
  2.0000000000000004E-001  2.0000000000000004E-001      20  20020   2.0000000000000000E+000 0.0000000000000000E+000 -4.0749588716038322E-001
  3.0000000000000008E-001  3.0000000000000008E-001      30  20030   2.0000000000000000E+000 0.0000000000000000E+000 -4.2363638486481018E-001
  3.0000000000000008E-001  3.0000000000000008E-001      30  20030   2.0000000000000000E+000 0.0000000000000000E+000 -4.2363638486481018E-001
  4.0000000000000017E-001  4.0000000000000017E-001      40  20040   2.0000000000000000E+000 0.0000000000000000E+000 -4.3521573286855765E-001
  4.0000000000000017E-001  4.0000000000000017E-001      40  20040   2.0000000000000000E+000 0.0000000000000000E+000 -4.3521573286855765E-001
  5.0000000000000017E-001  5.0000000000000017E-001      50  20050   2.0000000000000000E+000 0.0000000000000000E+000 -4.4141564622808351E-001
  5.0000000000000017E-001  5.0000000000000017E-001      50  20050   2.0000000000000000E+000 0.0000000000000000E+000 -4.4141564622808351E-001
  6.0000000000000035E-001  6.0000000000000035E-001      60  20060   2.0000000000000000E+000 0.0000000000000000E+000 -4.4185555719927442E-001
  6.0000000000000035E-001  6.0000000000000035E-001      60  20060   2.0000000000000000E+000 0.0000000000000000E+000 -4.4185555719927442E-001
  7.0000000000000035E-001  7.0000000000000035E-001      70  20070   2.0000000000000000E+000 0.0000000000000000E+000 -4.3654448249209938E-001
  7.0000000000000035E-001  7.0000000000000035E-001      70  20070   2.0000000000000000E+000 0.0000000000000000E+000 -4.3654448249209938E-001
  8.0000000000000053E-001  8.0000000000000053E-001      80  20080   2.0000000000000000E+000 0.0000000000000000E+000 -4.2578310744891103E-001
  8.0000000000000053E-001  8.0000000000000053E-001      80  20080   2.0000000000000000E+000 0.0000000000000000E+000 -4.2578310744891103E-001
  9.0000000000000053E-001  9.0000000000000053E-001      90  20090   2.0000000000000000E+000 0.0000000000000000E+000 -4.1008081833503133E-001
  9.0000000000000053E-001  9.0000000000000053E-001      90  20090   2.0000000000000000E+000 0.0000000000000000E+000 -4.1008081833503133E-001
  1.0000000000000006E+000  1.0000000000000006E+000     100  20100   2.0000000000000000E+000 0.0000000000000000E+000 -3.9014156430581712E-001
  1.0000000000000006E+000  1.0000000000000006E+000     100  20100   2.0000000000000000E+000 0.0000000000000000E+000 -3.9014156430581712E-001
  1.1000000000000007E+000  1.1000000000000007E+000     110  20110   2.0000000000000000E+000 0.0000000000000000E+000 -3.6692923663145715E-001
  1.1000000000000007E+000  1.1000000000000007E+000     110  20110   2.0000000000000000E+000 0.0000000000000000E+000 -3.6692923663145715E-001
  1.2000000000000008E+000  1.2000000000000008E+000     120  20120   2.0000000000000000E+000 0.0000000000000000E+000 -3.4177912312779450E-001
  1.2000000000000008E+000  1.2000000000000008E+000     120  20120   2.0000000000000000E+000 0.0000000000000000E+000 -3.4177912312779450E-001
  1.3000000000000009E+000  1.3000000000000009E+000     130  20130   2.0000000000000000E+000 0.0000000000000000E+000 -3.1648555155959225E-001
  1.3000000000000009E+000  1.3000000000000009E+000     130  20130   2.0000000000000000E+000 0.0000000000000000E+000 -3.1648555155959225E-001
  1.4000000000000010E+000  1.4000000000000010E+000     140  20140   2.0000000000000000E+000 0.0000000000000000E+000 -2.9325146074724486E-001
  1.4000000000000010E+000  1.4000000000000010E+000     140  20140   2.0000000000000000E+000 0.0000000000000000E+000 -2.9325146074724486E-001
  1.5000000000000010E+000  1.5000000000000010E+000     150  20150   2.0000000000000000E+000 0.0000000000000000E+000 -2.7434032993932833E-001
  1.5000000000000010E+000  1.5000000000000010E+000     150  20150   2.0000000000000000E+000 0.0000000000000000E+000 -2.7434032993932833E-001
  1.6000000000000012E+000  1.6000000000000012E+000     160  20160   2.0000000000000000E+000 0.0000000000000000E+000 -2.6135594861028241E-001
  1.6000000000000012E+000  1.6000000000000012E+000     160  20160   2.0000000000000000E+000 0.0000000000000000E+000 -2.6135594861028241E-001
  1.7000000000000012E+000  1.7000000000000012E+000     170  20170   2.0000000000000000E+000 0.0000000000000000E+000 -2.5450478113727079E-001
  1.7000000000000012E+000  1.7000000000000012E+000     170  20170   2.0000000000000000E+000 0.0000000000000000E+000 -2.5450478113727079E-001
  1.8000000000000014E+000  1.8000000000000014E+000     180  20180   2.0000000000000000E+000 0.0000000000000000E+000 -2.5264361985253924E-001
  1.9000000000000014E+000  1.9000000000000014E+000     190  20190   2.0000000000000000E+000 0.0000000000000000E+000 -2.5435884635490069E-001
  1.8000000000000014E+000  1.8000000000000014E+000     180  20180   2.0000000000000000E+000 0.0000000000000000E+000 -2.5264361985253924E-001
  2.0000000000000013E+000  2.0000000000000013E+000     200  20200   2.0000000000000000E+000 0.0000000000000000E+000 -2.5902548665088453E-001
  1.9000000000000014E+000  1.9000000000000014E+000     190  20190   2.0000000000000000E+000 0.0000000000000000E+000 -2.5435884635490069E-001
  2.0999999999999992E+000  2.0999999999999992E+000     210  20210   2.0000000000000000E+000 0.0000000000000000E+000 -2.6676827681579200E-001
  2.0000000000000013E+000  2.0000000000000013E+000     200  20200   2.0000000000000000E+000 0.0000000000000000E+000 -2.5902548665088453E-001
  2.1999999999999970E+000  2.1999999999999970E+000     220  20220   2.0000000000000000E+000 0.0000000000000000E+000 -2.7773318166085534E-001
  2.0999999999999992E+000  2.0999999999999992E+000     210  20210   2.0000000000000000E+000 0.0000000000000000E+000 -2.6676827681579200E-001
  2.2999999999999949E+000  2.2999999999999949E+000     230  20230   2.0000000000000000E+000 0.0000000000000000E+000 -2.9175127155025592E-001
  2.1999999999999970E+000  2.1999999999999970E+000     220  20220   2.0000000000000000E+000 0.0000000000000000E+000 -2.7773318166085534E-001
  2.3999999999999928E+000  2.3999999999999928E+000     240  20240   2.0000000000000000E+000 0.0000000000000000E+000 -3.0849675953971766E-001
  2.2999999999999949E+000  2.2999999999999949E+000     230  20230   2.0000000000000000E+000 0.0000000000000000E+000 -2.9175127155025592E-001
  2.4999999999999906E+000  2.4999999999999906E+000     250  20250   2.0000000000000000E+000 0.0000000000000000E+000 -3.2753164139567738E-001
  2.3999999999999928E+000  2.3999999999999928E+000     240  20240   2.0000000000000000E+000 0.0000000000000000E+000 -3.0849675953971766E-001
  2.5999999999999885E+000  2.5999999999999885E+000     260  20260   2.0000000000000000E+000 0.0000000000000000E+000 -3.4812260979851785E-001
  2.4999999999999906E+000  2.4999999999999906E+000     250  20250   2.0000000000000000E+000 0.0000000000000000E+000 -3.2753164139567738E-001
  2.6999999999999864E+000  2.6999999999999864E+000     270  20270   2.0000000000000000E+000 0.0000000000000000E+000 -3.6915756064244402E-001
  2.5999999999999885E+000  2.5999999999999885E+000     260  20260   2.0000000000000000E+000 0.0000000000000000E+000 -3.4812260979851785E-001
  2.7999999999999842E+000  2.7999999999999842E+000     280  20280   2.0000000000000000E+000 0.0000000000000000E+000 -3.8925088502047348E-001
  2.6999999999999864E+000  2.6999999999999864E+000     270  20270   2.0000000000000000E+000 0.0000000000000000E+000 -3.6915756064244402E-001
  2.8999999999999822E+000  2.8999999999999822E+000     290  20290   2.0000000000000000E+000 0.0000000000000000E+000 -4.0692429984774305E-001
  2.7999999999999842E+000  2.7999999999999842E+000     280  20280   2.0000000000000000E+000 0.0000000000000000E+000 -3.8925088502047348E-001
  2.9999999999999801E+000  2.9999999999999801E+000     300  20300   2.0000000000000000E+000 0.0000000000000000E+000 -4.2081337500672884E-001
  2.8999999999999822E+000  2.8999999999999822E+000     290  20290   2.0000000000000000E+000 0.0000000000000000E+000 -4.0692429984774305E-001
  3.0999999999999778E+000  3.0999999999999778E+000     310  20310   2.0000000000000000E+000 0.0000000000000000E+000 -4.2985878543309885E-001
  2.9999999999999801E+000  2.9999999999999801E+000     300  20300   2.0000000000000000E+000 0.0000000000000000E+000 -4.2081337500672884E-001
  3.1999999999999757E+000  3.1999999999999757E+000     320  20320   2.0000000000000000E+000 0.0000000000000000E+000 -4.3341534763661364E-001
  3.0999999999999778E+000  3.0999999999999778E+000     310  20310   2.0000000000000000E+000 0.0000000000000000E+000 -4.2985878543309885E-001
  3.2999999999999736E+000  3.2999999999999736E+000     330  20330   2.0000000000000000E+000 0.0000000000000000E+000 -4.3125704842591927E-001
  3.1999999999999757E+000  3.1999999999999757E+000     320  20320   2.0000000000000000E+000 0.0000000000000000E+000 -4.3341534763661364E-001
  3.3999999999999714E+000  3.3999999999999714E+000     340  20340   2.0000000000000000E+000 0.0000000000000000E+000 -4.2350866410122520E-001
  3.2999999999999736E+000  3.2999999999999736E+000     330  20330   2.0000000000000000E+000 0.0000000000000000E+000 -4.3125704842591927E-001
  3.4999999999999693E+000  3.4999999999999693E+000     350  20350   2.0000000000000000E+000 0.0000000000000000E+000 -4.1055822902147314E-001
